seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
chr16	19132242	19132443	202	*	Intron (ENST00000564808.6/ENSG00000261427.6, intron 4 of 5)	16	19119976	19121629	1654	2	ENSG00000261759.1	ENST00000567236.1	-10613	NA	NA	NA
chr1	63523291	63523492	202	*	Promoter (<=1kb)	1	63523372	63532696	9325	1	ENSG00000203965.13	ENST00000480886.1	0	84455	EFCAB7	EF-hand calcium binding domain 7
chr17	36203469	36203670	202	*	Distal Intergenic	17	36194869	36196758	1890	2	ENSG00000276085.1	ENST00000619989.1	-6711	6349	CCL3L1	C-C motif chemokine ligand 3 like 1
chr8	102528607	102528808	202	*	Promoter (<=1kb)	8	102528740	102538668	9929	1	ENSG00000253633.2	ENST00000519630.1	0	107986898	LOC107986898	uncharacterized LOC107986898
chr8	102528665	102528866	202	*	Promoter (<=1kb)	8	102528740	102538668	9929	1	ENSG00000253633.2	ENST00000519630.1	0	107986898	LOC107986898	uncharacterized LOC107986898
chr1	18951915	18952116	202	*	Intron (ENST00000455833.7/ENSG00000169991.11, intron 1 of 8)	1	18908340	18955698	47359	2	ENSG00000169991.11	ENST00000416166.1	3582	126917	IFFO2	intermediate filament family orphan 2
chr19	947902	948103	202	*	Intron (ENST00000263620.8/ENSG00000116017.11, intron 3 of 8)	19	956485	958149	1665	1	ENSG00000275162.1	ENST00000613285.1	-8382	NA	NA	NA
chr1	9629534	9629735	202	*	Distal Intergenic	1	9607728	9613247	5520	1	ENSG00000188807.13	ENST00000508400.1	21806	199953	TMEM201	transmembrane protein 201
chr9	133822837	133823038	202	*	Intron (ENST00000406606.7/ENSG00000160293.17, intron 4 of 26)	9	133725393	133739955	14563	2	ENSG00000123453.18	ENST00000298628.6	-82882	1757	SARDH	sarcosine dehydrogenase
chr12	14257816	14258017	202	*	Promoter (2-3kb)	12	14254912	14255226	315	1	ENSG00000255749.1	ENST00000541815.1	2904	NA	NA	NA
chr8	130015348	130015549	202	*	Promoter (<=1kb)	8	129841470	130016405	174936	2	ENSG00000153310.19	ENST00000523509.5	856	51571	CYRIB	CYFIP related Rac1 interactor B
chr19	45886356	45886557	202	*	Promoter (<=1kb)	19	45883608	45886141	2534	2	ENSG00000170604.5	ENST00000302165.5	-215	26145	IRF2BP1	interferon regulatory factor 2 binding protein 1
chr20	44646827	44647028	202	*	Intron (ENST00000372874.9/ENSG00000196839.13, intron 1 of 11)	20	44626323	44651661	25339	2	ENSG00000196839.13	ENST00000545776.5	4633	100	ADA	adenosine deaminase
chr19	16141053	16141254	202	*	Promoter (1-2kb)	19	16123661	16139892	16232	2	ENSG00000269243.1	ENST00000597983.1	-1161	NA	NA	NA
chr9	123338998	123339199	202	*	Distal Intergenic	9	123356170	123374099	17930	1	ENSG00000148204.12	ENST00000359999.7	-16971	286204	CRB2	crumbs cell polarity complex component 2
chr16	27367930	27368131	202	*	Distal Intergenic	16	27355348	27362296	6949	1	ENSG00000077238.14	ENST00000563886.1	12582	3566	IL4R	interleukin 4 receptor
