seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
chr1	960473	960682	210	*	Promoter (<=1kb)	1	960584	965719	5136	1	ENSG00000187961.14	ENST00000338591.8	0	339451	KLHL17	kelch like family member 17
chr1	1031147	1031351	205	*	Promoter (2-3kb)	1	1034106	1056116	22011	1	ENSG00000188157.15	ENST00000651234.1	-2755	375790	AGRN	agrin
chr1	1282095	1282303	209	*	Promoter (<=1kb)	1	1282109	1292024	9916	1	ENSG00000162572.21	ENST00000325425.12	0	6339	SCNN1D	sodium channel epithelial 1 subunit delta
chr1	1781981	1782185	205	*	Promoter (1-2kb)	1	1779157	1780457	1301	2	ENSG00000008130.15	ENST00000480542.1	-1524	65220	NADK	NAD kinase
chr1	2609885	2610118	234	*	Promoter (1-2kb)	1	2606281	2611401	5121	2	ENSG00000142606.16	ENST00000509374.1	1283	79258	MMEL1	membrane metalloendopeptidase like 1
chr1	2920717	2920923	207	*	Distal Intergenic	1	2960658	2963415	2758	2	ENSG00000284745.1	ENST00000641229.1	42492	NA	NA	NA
chr1	3160724	3160931	208	*	Intron (ENST00000511072.5/ENSG00000142611.17, intron 1 of 15)	1	3132927	3133709	783	2	ENSG00000226286.1	ENST00000440516.1	-27015	NA	NA	NA
chr1	3673441	3673675	235	*	Intron (ENST00000378295.9/ENSG00000078900.15, intron 1 of 13)	1	3658938	3668772	9835	2	ENSG00000227589.1	ENST00000443034.1	-4669	NA	NA	NA
chr1	3673913	3674117	205	*	Intron (ENST00000378295.9/ENSG00000078900.15, intron 1 of 13)	1	3658938	3668772	9835	2	ENSG00000227589.1	ENST00000443034.1	-5141	NA	NA	NA
chr1	3776132	3776535	404	*	Downstream (2-3kb)	1	3772825	3775388	2564	1	ENSG00000235169.11	ENST00000452264.1	3307	388588	SMIM1	small integral membrane protein 1 (Vel blood group)
chr1	4007623	4007845	223	*	Intron (ENST00000642026.2/ENSG00000284668.2, intron 2 of 2)	1	4012921	4019508	6588	2	ENSG00000284703.1	ENST00000642139.1	11663	NA	NA	NA
chr1	4635118	4635334	217	*	Distal Intergenic	1	4654609	4792534	137926	1	ENSG00000196581.11	ENST00000378191.5	-19275	55966	AJAP1	adherens junctions associated protein 1
chr1	4661319	4661542	224	*	Intron (ENST00000378191.5/ENSG00000196581.11, intron 1 of 5)	1	4654732	4777794	123063	1	ENSG00000196581.11	ENST00000378190.7	6587	55966	AJAP1	adherens junctions associated protein 1
chr1	6094625	6094862	238	*	Promoter (<=1kb)	1	6094483	6101187	6705	1	ENSG00000069424.15	ENST00000671076.1	142	8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
chr1	6094899	6095115	217	*	Promoter (<=1kb)	1	6094483	6101187	6705	1	ENSG00000069424.15	ENST00000671076.1	416	8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
chr1	6235084	6235286	203	*	Promoter (<=1kb)	1	6234692	6239408	4717	1	ENSG00000225077.3	ENST00000650463.1	392	NA	NA	NA
chr1	6431926	6432139	214	*	Promoter (2-3kb)	1	6429834	6429896	63	2	ENSG00000265392.1	ENST00000585139.1	-2030	100422975	MIR4252	microRNA 4252
chr1	6493406	6493609	204	*	Promoter (1-2kb)	1	6474575	6491696	17122	2	ENSG00000171680.23	ENST00000675093.1	-1710	57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5
chr1	7346174	7346379	206	*	Intron (ENST00000303635.12/ENSG00000171735.19, intron 5 of 22)	1	7368942	7370270	1329	1	ENSG00000237402.1	ENST00000427317.1	-22563	NA	NA	NA
chr1	7432202	7432418	217	*	Intron (ENST00000303635.12/ENSG00000171735.19, intron 5 of 22)	1	7441096	7441554	459	2	ENSG00000225126.1	ENST00000440032.1	9136	NA	NA	NA
chr1	7652818	7653029	212	*	Intron (ENST00000303635.12/ENSG00000171735.19, intron 7 of 22)	1	7693124	7694844	1721	2	ENSG00000270171.1	ENST00000602640.1	41815	NA	NA	NA
chr1	7659831	7660047	217	*	Intron (ENST00000303635.12/ENSG00000171735.19, intron 7 of 22)	1	7693124	7694844	1721	2	ENSG00000270171.1	ENST00000602640.1	34797	NA	NA	NA
chr1	8063386	8063612	227	*	Intron (ENST00000445300.1/ENSG00000238290.1, intron 2 of 2)	1	8057245	8058463	1219	2	ENSG00000232848.1	ENST00000399343.2	-4923	NA	NA	NA
chr1	8396967	8397229	263	*	Intron (ENST00000337907.7/ENSG00000142599.19, intron 13 of 23)	1	8365855	8423419	57565	2	ENSG00000142599.19	ENST00000460659.5	26190	473	RERE	arginine-glutamic acid dipeptide repeats
chr1	8496556	8496760	205	*	Intron (ENST00000337907.7/ENSG00000142599.19, intron 10 of 23)	1	8511795	8511919	125	2	ENSG00000221083.1	ENST00000408156.1	15159	NA	NA	NA
chr1	8587177	8587391	215	*	Intron (ENST00000337907.7/ENSG00000142599.19, intron 5 of 23)	1	8541224	8590841	49618	2	ENSG00000142599.19	ENST00000469251.1	3450	473	RERE	arginine-glutamic acid dipeptide repeats
chr1	8629828	8630056	229	*	Intron (ENST00000337907.7/ENSG00000142599.19, intron 3 of 23)	1	8556476	8624380	67905	2	ENSG00000142599.19	ENST00000514428.1	-5448	473	RERE	arginine-glutamic acid dipeptide repeats
chr1	8633785	8633993	209	*	Intron (ENST00000337907.7/ENSG00000142599.19, intron 3 of 23)	1	8556476	8624380	67905	2	ENSG00000142599.19	ENST00000514428.1	-9405	473	RERE	arginine-glutamic acid dipeptide repeats
chr1	8845156	8845386	231	*	Intron (ENST00000656437.1/ENSG00000142599.19, intron 1 of 18)	1	8361158	8848921	487764	2	ENSG00000142599.19	ENST00000656437.1	3535	473	RERE	arginine-glutamic acid dipeptide repeats
chr1	9015919	9016143	225	*	Intron (ENST00000400906.2/ENSG00000197241.4, intron 5 of 11)	1	9002973	9026423	23451	2	ENSG00000197241.4	ENST00000400906.2	10280	155184	SLC2A7	solute carrier family 2 member 7
chr1	9055071	9055281	211	*	Intron (ENST00000377424.9/ENSG00000142583.18, intron 3 of 11)	1	9040080	9069604	29525	2	ENSG00000142583.18	ENST00000377414.7	14323	6518	SLC2A5	solute carrier family 2 member 5
