seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
chr12	124746329	124746530	202	*	Distal Intergenic	12	124725524	124725934	411	1	ENSG00000279931.1	ENST00000624500.1	20805	NA	NA	NA
chr8	130015342	130015543	202	*	Promoter (<=1kb)	8	129841470	130016405	174936	2	ENSG00000153310.19	ENST00000523509.5	862	51571	CYRIB	CYFIP related Rac1 interactor B
chr7	2403019	2403220	202	*	Promoter (<=1kb)	7	2403588	2448483	44896	1	ENSG00000136213.10	ENST00000258711.7	-368	55501	CHST12	carbohydrate sulfotransferase 12
chr20	50054636	50054837	202	*	Distal Intergenic	20	50040716	50041504	789	2	ENSG00000231265.1	ENST00000431460.1	-13132	NA	NA	NA
chr8	130518257	130518458	202	*	Distal Intergenic	8	130052104	130443674	391571	2	ENSG00000153317.15	ENST00000518721.6	-74583	50807	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
chr17	81295675	81295876	202	*	Promoter (<=1kb)	17	81282189	81295547	13359	2	ENSG00000157637.13	ENST00000539748.1	-128	124565	SLC38A10	solute carrier family 38 member 10
chr9	119964174	119964375	202	*	Distal Intergenic	9	119973094	119974322	1229	1	ENSG00000225960.1	ENST00000454204.1	-8719	NA	NA	NA
chr16	28012284	28012485	202	*	Intron (ENST00000447459.7/ENSG00000169181.13, intron 1 of 6)	16	27998295	27998401	107	2	ENSG00000207266.1	ENST00000384536.1	-13883	106481572	RNU6-1241P	RNA, U6 small nuclear 1241, pseudogene
chr20	43939616	43939817	202	*	Intron (ENST00000341197.9/ENSG00000124191.18, intron 1 of 8)	20	43945705	44069616	123912	1	ENSG00000124191.18	ENST00000358131.5	-5888	84969	TOX2	TOX high mobility group box family member 2
chr12	124721088	124721289	202	*	Distal Intergenic	12	124725524	124725934	411	1	ENSG00000279931.1	ENST00000624500.1	-4235	NA	NA	NA
chr14	99274095	99274296	202	*	Promoter (1-2kb)	14	99169287	99272197	102911	2	ENSG00000127152.18	ENST00000357195.8	-1898	64919	BCL11B	BAF chromatin remodeling complex subunit BCL11B
chr20	31595544	31595745	202	*	Distal Intergenic	20	31605283	31606515	1233	1	ENSG00000125968.9	ENST00000376105.4	-9538	3397	ID1	inhibitor of DNA binding 1, HLH protein
chr5	132496464	132496665	202	*	Promoter (<=1kb)	5	132489392	132496467	7076	2	ENSG00000125347.15	ENST00000681584.1	0	3659	IRF1	interferon regulatory factor 1
chr5	150264172	150264373	202	*	Promoter (1-2kb)	5	150219894	150265397	45504	2	ENSG00000070808.17	ENST00000684465.1	1024	815	CAMK2A	calcium/calmodulin dependent protein kinase II alpha
chr16	67968748	67968949	202	*	Promoter (<=1kb)	16	67943474	67968694	25221	2	ENSG00000124067.17	ENST00000422611.6	-54	6560	SLC12A4	solute carrier family 12 member 4
chr8	102528627	102528828	202	*	Promoter (<=1kb)	8	102528740	102538668	9929	1	ENSG00000253633.2	ENST00000519630.1	0	107986898	LOC107986898	uncharacterized LOC107986898
chr7	2403002	2403203	202	*	Promoter (<=1kb)	7	2403588	2448483	44896	1	ENSG00000136213.10	ENST00000258711.7	-385	55501	CHST12	carbohydrate sulfotransferase 12
chr17	50638739	50638940	202	*	Intron (ENST00000513511.5/ENSG00000108846.16, intron 1 of 7)	17	50634901	50691702	56802	1	ENSG00000108846.16	ENST00000505699.5	3838	8714	ABCC3	ATP binding cassette subfamily C member 3
chr1	147539370	147539571	202	*	Promoter (1-2kb)	1	147541501	147626180	84680	1	ENSG00000116128.12	ENST00000683836.1	-1930	607	BCL9	BCL9 transcription coactivator
chr8	135457043	135457244	202	*	Promoter (<=1kb)	8	135455865	135456952	1088	2	ENSG00000254372.1	ENST00000518674.1	-91	NA	NA	NA
chr20	50292380	50292581	202	*	Promoter (<=1kb)	20	50292709	50312919	20211	1	ENSG00000203999.9	ENST00000669676.1	-128	284751	LINC01270	long intergenic non-protein coding RNA 1270
chr17	47649074	47649275	202	*	Promoter (<=1kb)	17	47603860	47649402	45543	2	ENSG00000263766.5	ENST00000582389.5	127	NA	NA	NA
chr1	47710372	47710573	202	*	Distal Intergenic	1	47688463	47704029	15567	1	ENSG00000227947.2	ENST00000454285.2	21909	107984953	LINC01738	long intergenic non-protein coding RNA 1738
chr7	29990188	29990389	202	*	Promoter (<=1kb)	7	29923857	29990289	66433	2	ENSG00000136193.17	ENST00000434476.6	0	9805	SCRN1	secernin 1
