seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
chr1	923270	923479	210	*	Promoter (<=1kb)	1	923923	944574	20652	1	ENSG00000187634.13	ENST00000616016.5	-444	148398	SAMD11	sterile alpha motif domain containing 11
chr1	1282093	1282311	219	*	Promoter (<=1kb)	1	1282109	1292024	9916	1	ENSG00000162572.21	ENST00000325425.12	0	6339	SCNN1D	sodium channel epithelial 1 subunit delta
chr1	2920704	2920914	211	*	Distal Intergenic	1	2960658	2963415	2758	2	ENSG00000284745.1	ENST00000641229.1	42501	NA	NA	NA
chr1	3160730	3160950	221	*	Intron (ENST00000511072.5/ENSG00000142611.17, intron 1 of 15)	1	3132927	3133709	783	2	ENSG00000226286.1	ENST00000440516.1	-27021	NA	NA	NA
chr1	3262002	3262248	247	*	Intron (ENST00000511072.5/ENSG00000142611.17, intron 3 of 15)	1	3244132	3386918	142787	1	ENSG00000142611.17	ENST00000463591.1	17870	63976	PRDM16	PR/SET domain 16
chr1	3673471	3673673	203	*	Intron (ENST00000378295.9/ENSG00000078900.15, intron 1 of 13)	1	3658938	3668772	9835	2	ENSG00000227589.1	ENST00000443034.1	-4699	NA	NA	NA
chr1	4661342	4661560	219	*	Intron (ENST00000378191.5/ENSG00000196581.11, intron 1 of 5)	1	4654732	4777794	123063	1	ENSG00000196581.11	ENST00000378190.7	6610	55966	AJAP1	adherens junctions associated protein 1
chr1	4734292	4734572	281	*	Promoter (<=1kb)	1	4730272	4734992	4721	2	ENSG00000287586.1	ENST00000661891.1	420	NA	NA	NA
chr1	5745497	5745704	208	*	Distal Intergenic	1	5587368	5668295	80928	2	ENSG00000236948.2	ENST00000413887.1	-77202	NA	NA	NA
chr1	6094883	6095101	219	*	Promoter (<=1kb)	1	6094483	6101187	6705	1	ENSG00000069424.15	ENST00000671076.1	400	8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
chr1	6235084	6235286	203	*	Promoter (<=1kb)	1	6234692	6239408	4717	1	ENSG00000225077.3	ENST00000650463.1	392	NA	NA	NA
chr1	6493384	6493587	204	*	Promoter (1-2kb)	1	6474575	6491696	17122	2	ENSG00000171680.23	ENST00000675093.1	-1688	57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5
chr1	7346181	7346389	209	*	Intron (ENST00000303635.12/ENSG00000171735.19, intron 5 of 22)	1	7368942	7370270	1329	1	ENSG00000237402.1	ENST00000427317.1	-22553	NA	NA	NA
chr1	7432182	7432387	206	*	Intron (ENST00000303635.12/ENSG00000171735.19, intron 5 of 22)	1	7441096	7441554	459	2	ENSG00000225126.1	ENST00000440032.1	9167	NA	NA	NA
chr1	8061191	8061392	202	*	Promoter (2-3kb)	1	8057245	8058463	1219	2	ENSG00000232848.1	ENST00000399343.2	-2728	NA	NA	NA
chr1	8063382	8063602	221	*	Intron (ENST00000445300.1/ENSG00000238290.1, intron 2 of 2)	1	8057245	8058463	1219	2	ENSG00000232848.1	ENST00000399343.2	-4919	NA	NA	NA
chr1	8845168	8845410	243	*	Intron (ENST00000656437.1/ENSG00000142599.19, intron 1 of 18)	1	8361158	8848921	487764	2	ENSG00000142599.19	ENST00000656437.1	3511	473	RERE	arginine-glutamic acid dipeptide repeats
chr1	9629518	9629730	213	*	Distal Intergenic	1	9607728	9613247	5520	1	ENSG00000188807.13	ENST00000508400.1	21790	199953	TMEM201	transmembrane protein 201
chr1	9668132	9668382	251	*	Intron (ENST00000377346.9/ENSG00000171608.16, intron 1 of 23)	1	9660828	9662626	1799	2	ENSG00000233268.3	ENST00000426570.3	-5506	NA	NA	NA
chr1	9767911	9768137	227	*	Intron (ENST00000377298.9/ENSG00000171603.18, intron 2 of 18)	1	9780822	9781240	419	1	ENSG00000271264.1	ENST00000603781.1	-12685	NA	NA	NA
chr1	9834223	9834430	208	*	Distal Intergenic	1	9826289	9828271	1983	2	ENSG00000280113.2	ENST00000639753.1	-5952	NA	NA	NA
chr1	10470120	10470334	215	*	Promoter (1-2kb)	1	10472288	10536572	64285	1	ENSG00000142655.13	ENST00000472851.1	-1954	5195	PEX14	peroxisomal biogenesis factor 14
chr1	10808545	10808763	219	*	Distal Intergenic	1	10647213	10796650	149438	2	ENSG00000130940.15	ENST00000344008.5	-11895	54897	CASZ1	castor zinc finger 1
chr1	11326147	11326391	245	*	Distal Intergenic	1	11311734	11319093	7360	2	ENSG00000284646.1	ENST00000641979.1	-7054	NA	NA	NA
chr1	11335806	11336011	206	*	Distal Intergenic	1	11311734	11319093	7360	2	ENSG00000284646.1	ENST00000641979.1	-16713	NA	NA	NA
chr1	11340521	11340740	220	*	Distal Intergenic	1	11311734	11319093	7360	2	ENSG00000284646.1	ENST00000641979.1	-21428	NA	NA	NA
chr1	11395496	11395701	206	*	Distal Intergenic	1	11425257	11425821	565	2	ENSG00000224338.2	ENST00000435243.2	30120	109729120	MTCYBP45	MT-CYB pseudogene 45
